temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.055,0.037,0.0
1,10.009999999999991,-2.180000000000007,0.043,0.039,0.012
2,26.409999999999997,0.03999999999996362,0.036,0.038,0.019
3,45.97999999999999,-1.2800000000000296,0.04,0.04,0.025
4,81.83999999999997,-0.8400000000000318,0.036,0.028,0.045
5,113.70999999999998,-3.640000000000043,0.038,0.042,0.04
6,144.76,-3.7800000000000296,0.045,0.043,0.039
7,173.83999999999997,-3.2800000000000296,0.057,0.048,0.036
8,198.89,-5.520000000000039,0.089,0.047,0.039
9,224.05,-18.960000000000036,0.11,0.04,0.035
10,241.64,-16.49000000000001,0.101,0.044,0.023
11,254.19,-17.600000000000023,0.087,0.046,0.016
