temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.063,0.027,0.0
1,14.399999999999991,-18.620000000000005,0.087,0.035,0.041
2,37.579999999999984,-51.099999999999966,0.078,0.032,0.071
3,56.03,-75.12,0.09,0.037,0.053
4,76.19,-101.63999999999999,0.076,0.035,0.042
5,99.22,-118.94,0.033,0.033,0.033
6,117.63999999999999,-128.41999999999996,0.03,0.028,0.03
7,137.95,-139.52999999999997,0.031,0.03,0.034
8,155.93,-149.98999999999995,0.024,0.021,0.031
9,173.79000000000002,-158.41999999999996,0.023,0.026,0.028
10,187.55,-166.25,0.033,0.027,0.023
11,194.57999999999998,-169.15999999999997,0.03,0.031,0.011
