user_id,gesture_label,dx_0,dx_1,dx_2,dx_3,dx_4,dx_5,dx_6,dx_7,dx_8,dx_9,dx_10,dx_11,dx_12,dx_13,dx_14,dx_15,dx_16,dx_17,dx_18,dy_0,dy_1,dy_2,dy_3,dy_4,dy_5,dy_6,dy_7,dy_8,dy_9,dy_10,dy_11,dy_12,dy_13,dy_14,dy_15,dy_16,dy_17,dy_18,dx_global,dy_global,angle,total_length,split,fold
1,1,-3.075482371834234,-5.645992463900994,-3.9271210271171864,-2.6170003465475684,-3.9487851945359385,-5.942044083171165,-4.257196437547403,-4.548120399835998,-6.589204523394443,-6.623202394947398,-3.6463461066419782,-5.957721142544642,-6.663424523407876,-4.7712883056906605,-5.247367914546018,-5.819217473177616,-5.335609215453076,-4.958955600380264,-5.605920475325547,-7.348036273717744,-5.511630350226692,-6.66851754726788,-7.628001803269132,-6.647167692784212,-5.151658142818995,-6.611929057886094,-6.250885871853363,-4.421084575198449,-4.460583858885926,-6.916450343524886,-4.708213825262263,-4.311706989434754,-6.304600942469065,-5.846322073784762,-5.275026214194028,-5.737149496919599,-6.101812828456488,-5.479222112045662,-95.18,-111.38,-2.2779271234838254,149.14684140140756,train,0
1,1,-5.96142166365799,-4.386443787406961,-3.508534017205932,-3.3276923530549176,-3.8416748372669254,-4.779303641788289,-5.614094419738635,-6.2855830591255035,-6.7937695599488706,-7.138653922208739,-7.320236145905113,-7.338516231038021,-7.1934941776074055,-6.885169985613359,-6.413543655055776,-5.778615185934697,-4.980384578250153,-4.018851832002099,-2.894016947190593,-5.974780206423674,-6.9017877006116075,-7.414115559999733,-7.511763784588066,-7.196047862544411,-6.625941925263682,-6.110089907019827,-5.683938030513211,-5.3474862957437,-5.100734702711378,-4.9436832514162035,-4.87633194185824,-4.898680774037402,-5.010729747953789,-5.212478863607316,-5.503928120997983,-5.885077520125833,-6.3559270609908936,-6.916476743593094,-104.45999999999998,-113.47000000000004,-2.314874471409939,155.64246167966738,validation,0
1,1,-4.224209259996924,-3.952282109587385,-4.097311969814845,-4.515742986445636,-4.332182427002547,-3.8758887595481752,-4.829340627908344,-6.071639862321984,-6.627389719357829,-6.477568246148188,-5.623889533673669,-4.817460321491744,-5.031818136021066,-5.2788094649325785,-5.474816488627312,-5.619839207105272,-5.71387762036656,-5.756931728411061,-5.749001531238875,-6.305774930946671,-6.5102576746452465,-6.406688110049533,-6.103614253841251,-6.262871526929434,-6.5821286855052215,-5.659832624419302,-4.519324385504078,-4.0353582948828475,-4.224993601188956,-5.086571669098106,-5.893301532615425,-5.703702238238563,-5.474664228911735,-5.287145226401108,-5.141145230706698,-5.036664241828518,-4.97370225976654,-4.952259284520807,-98.07,-104.16000000000004,-2.326089362062077,144.43153383675548,train,0
1,1,-5.641950280552568,-4.660474665986179,-4.10691920668231,-3.9812839026409783,-4.283264381711806,-4.898455105722352,-5.513474133649094,-5.756827542255039,-5.714562817987847,-5.82756202927299,-5.876896351844756,-5.773533075253219,-5.4813855081502965,-5.01225261776915,-4.955737110909496,-5.35663706040026,-5.91361240416451,-6.682425623737117,-5.302746181310027,-5.127217108444226,-5.949883124347322,-6.427053911985215,-6.558729471357918,-6.345072313083072,-5.847165931991466,-5.252676177139094,-5.00109325752463,-5.0396909453879175,-4.9051586258794515,-4.874852295649305,-5.008226451490543,-5.297894925882744,-5.731449601618181,-5.781216441175445,-5.440074921134794,-4.797181353373361,-3.6855892846718774,-5.429773857863438,-100.74,-102.5,-2.3475349939933663,144.79785481670575,train,0
1,1,-3.1170944855387623,-4.889752134650737,-5.500646358074732,-4.997752925514142,-4.678751797637489,-5.705048088602496,-5.206072835332094,-4.061411484085546,-5.185352151597954,-6.766045075444808,-6.688160526675212,-6.536755473805783,-6.781246718844159,-5.638257667259765,-5.499519477016591,-6.237686643456058,-6.929917697312931,-7.012725798341535,-6.217802660809241,-8.072142764243502,-6.915052528021739,-6.547817489098836,-6.936080437744856,-7.150525120219417,-6.362855344968551,-6.672187419938652,-7.567439275453154,-6.839636185411628,-5.172251931707997,-5.281982466129904,-5.494642883921614,-5.1619552957676405,-6.431892324666279,-6.534535926473936,-5.819887376418123,-5.022094992275981,-4.852585660557452,-5.854434576980736,-107.65000000000003,-118.69,-2.307456939023673,162.22965567239353,train,0
1,1,-5.171935882061175,-6.095472328078698,-5.852176638514276,-5.0582538272192075,-4.811532706589745,-5.066667776714812,-5.244302954293296,-5.241256999102212,-5.223152033261954,-5.253262376029802,-5.3715946574758675,-5.5987900395942845,-5.93502143804389,-6.366926352541498,-6.691527078780311,-6.751003983052854,-6.54120584271061,-6.062132657753622,-5.313784428181862,-6.595124043214387,-5.737262011178661,-5.937961340082172,-6.64452565497335,-6.8722728035059895,-6.657205875624307,-6.501924332910448,-6.499814912642904,-6.529333408423348,-6.538613735178579,-6.450807188812988,-6.226221837583537,-5.864525173246847,-5.381450627159978,-5.015990581744219,-4.953966875813791,-5.200267290487901,-5.75489182576662,-6.617840481649935,-107.64999999999998,-115.97999999999996,-2.31896267600491,158.81093159758524,train,0
1,1,-5.597158970227027,-4.339554232606411,-3.735140156476234,-3.7834403389778437,-4.289042117610709,-4.756634830957928,-5.108923082132449,-5.345906871134268,-5.45672159660252,-5.360274753556276,-5.0201258481735636,-4.757272417313871,-5.515431757463965,-6.525479779073365,-6.484250226873328,-5.9799460635075405,-5.75968008097459,-5.86102776393858,-6.283989112399567,-6.113962599254384,-6.877106768346316,-7.2500176918175665,-7.23296764812358,-6.937640807421303,-6.647121998924703,-6.405587849408192,-6.213038358871756,-6.08592929882564,-6.147085215595212,-6.451816287951019,-6.684623870206522,-5.9180505012779605,-4.925582796220098,-5.011237886856492,-5.559835183677166,-5.794786247235322,-5.6770331370038605,-5.206575852982908,-99.96000000000004,-117.14,-2.27722501698682,155.08785432169014,train,0
1,1,-4.155351682922025,-4.84543618976345,-5.16968210911568,-5.128089440978709,-4.720658185352544,-3.9569638521108637,-3.2635550792569568,-3.2281695614985537,-3.8936626354310064,-5.101900433591304,-5.7243654882902035,-5.270617453471694,-4.179384429099663,-3.9570180339507957,-4.796741021258825,-5.503462064221651,-5.467690100083047,-5.128035420929038,-4.759216818673991,-5.74255630611861,-5.196337931812948,-4.9369935094167765,-4.964523038930091,-5.278926520352897,-5.872497082905767,-6.401926090538005,-6.3941715303380064,-5.814741187718333,-4.7976506732086435,-4.299298257794732,-4.7353213054389585,-5.717753153298261,-5.914781266149063,-5.157597796521301,-4.52169206845069,-4.556746541972572,-4.881057138113363,-5.255428600920979,-88.25,-100.44,-2.291680824078188,134.69924002550277,train,0
1,1,-4.708385364573038,-4.601071039259011,-4.465761677173509,-4.302457278316528,-4.11115784268808,-3.911981001414599,-3.895079155653839,-4.165130639948931,-4.640615874287363,-4.866523738252575,-4.715302435523682,-4.6444266405190575,-4.992413196656699,-5.393194619374405,-5.603410148789536,-5.618990351117631,-5.439935226358713,-5.066244774512853,-4.497918995579937,-4.642177972851677,-4.750278942502494,-4.8775964648627514,-5.02413053993245,-5.189881167711604,-5.357367017174074,-5.361354068014361,-5.110881480663011,-4.6813390085454,-4.493188437572215,-4.660913437563835,-4.707010462472773,-4.281626087510411,-3.807270627114832,-3.564066026853922,-3.556696434285371,-3.7851618494092065,-4.249462272225486,-4.949597702734081,-89.63999999999999,-87.04999999999995,-2.370851881779661,125.63282120903051,train,0
1,1,-3.472397261742309,-3.9274792469734776,-4.190263552315919,-4.262305603766631,-4.201599000685716,-4.082080896795713,-3.997300937926539,-4.272713032337691,-4.968944903020926,-5.592494483308819,-5.5293202810707385,-4.81462755850491,-4.363077989149602,-4.772160787890549,-5.460123138203208,-5.776334361685159,-5.68759623903459,-5.193908770251554,-4.295271955335963,-5.798270936950263,-5.479669429636762,-5.2870688781810244,-5.220025438129792,-5.261990500002611,-5.391864192648871,-5.505481185435443,-5.225870518922875,-4.481905136956634,-3.8132981711098495,-3.891589375757853,-4.678413146037002,-5.175152199528512,-4.72943921117529,-3.975460100732022,-3.622507881352462,-3.706773998939198,-4.22825845349216,-5.186961245011332,-88.86000000000001,-90.65999999999995,-2.346168088218449,128.14798270469475,train,0
