fold,acc_total,n_train,n_test,acc_G1,acc_G2,acc_G3,acc_G4,acc_G5,acc_G6,acc_G7,acc_G8
1,0.990506329113924,1260,316,0.975,1.0,0.975,1.0,0.975,1.0,1.0,1.0
2,0.9968253968253968,1261,315,1.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0
3,1.0,1261,315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.9841269841269841,1261,315,1.0,0.975,0.975,0.9761904761904762,1.0,0.967741935483871,0.975609756097561,1.0
5,0.9968253968253968,1261,315,1.0,1.0,1.0,1.0,1.0,0.96875,1.0,1.0
