fold,acc_total,n_train,n_test,acc_G1,acc_G2,acc_G3,acc_G4,acc_G5,acc_G6,acc_G7,acc_G8
1,0.993993993993994,1331,333,1.0,1.0,1.0,1.0,0.9761904761904762,1.0,0.9761904761904762,1.0
2,0.9579579579579579,1331,333,0.9047619047619048,0.9534883720930233,0.9069767441860465,1.0,1.0,0.9696969696969697,0.9534883720930233,0.9761904761904762
3,0.990990990990991,1331,333,1.0,1.0,0.9767441860465116,0.9772727272727273,1.0,1.0,1.0,0.9767441860465116
4,0.984984984984985,1331,333,0.9767441860465116,1.0,1.0,0.9772727272727273,0.9534883720930233,0.96875,1.0,1.0
5,0.9849397590361446,1332,332,1.0,0.9767441860465116,0.9767441860465116,0.9545454545454546,1.0,1.0,1.0,0.9767441860465116
