temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.062,0.032,0.0
1,13.930000000000007,-15.579999999999984,0.08,0.038,0.035
2,22.209999999999994,-28.16999999999996,0.079,0.034,0.027
3,45.94000000000001,-57.27999999999997,0.101,0.038,0.065
4,61.2,-80.87,0.088,0.036,0.051
5,79.04,-103.72999999999996,0.082,0.038,0.038
6,94.74,-119.45999999999998,0.056,0.039,0.025
7,111.98,-127.52999999999997,0.032,0.035,0.027
8,127.17,-135.08999999999997,0.031,0.031,0.024
9,150.34999999999997,-144.86,0.03,0.031,0.035
10,169.21999999999997,-156.66999999999996,0.032,0.029,0.033
11,179.68,-163.5,0.026,0.026,0.019
12,190.15999999999997,-167.99,0.037,0.027,0.016
