temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.076,0.038,0.0
1,13.670000000000002,-17.75999999999999,0.108,0.049,0.039
2,23.099999999999994,-29.150000000000034,0.1,0.045,0.025
3,46.34,-58.860000000000014,0.101,0.042,0.066
4,61.599999999999994,-79.41000000000003,0.104,0.045,0.045
5,80.72999999999999,-107.57,0.108,0.045,0.06
6,100.49000000000001,-133.78000000000003,0.07,0.039,0.03
7,121.46000000000001,-145.3,0.043,0.032,0.034
8,141.07,-156.41000000000003,0.038,0.034,0.033
9,157.82,-166.38,0.029,0.032,0.029
10,174.23999999999998,-175.77000000000004,0.036,0.03,0.028
11,187.42,-183.31,0.028,0.029,0.022
