temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.022,0.038,0.0
1,7.159999999999997,3.1200000000000045,0.032,0.049,0.011
2,34.639999999999986,16.30000000000001,0.021,0.032,0.037
3,48.67999999999998,24.129999999999995,0.029,0.033,0.021
4,63.079999999999984,32.99000000000001,0.033,0.027,0.025
5,80.48999999999998,41.610000000000014,0.034,0.029,0.028
6,97.69999999999999,51.910000000000025,0.037,0.031,0.038
7,118.99999999999997,70.66000000000003,0.063,0.027,0.052
8,141.01000000000002,88.10000000000002,0.062,0.033,0.044
9,165.73999999999998,108.69999999999999,0.055,0.029,0.052
10,184.80999999999997,122.57,0.058,0.033,0.037
11,201.48,135.15000000000003,0.073,0.033,0.033
12,210.12999999999997,141.63,0.075,0.034,0.017
