temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.053,0.022,0.0
1,11.52000000000001,-13.520000000000039,0.065,0.028,0.031
2,25.76000000000002,-29.610000000000014,0.068,0.029,0.037
3,40.58000000000001,-46.53000000000003,0.069,0.031,0.032
4,66.11000000000001,-73.21000000000004,0.062,0.03,0.055
5,79.41000000000003,-86.40000000000003,0.043,0.024,0.031
6,96.82000000000002,-96.80000000000001,0.043,0.029,0.027
7,122.85,-109.96000000000004,0.029,0.029,0.04
8,138.07000000000002,-117.70000000000005,0.031,0.021,0.025
9,153.29,-124.90000000000003,0.03,0.025,0.024
10,170.25000000000003,-134.66000000000003,0.025,0.027,0.029
