temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.066,0.029,0.0
1,10.139999999999986,-16.44999999999999,0.09,0.034,0.035
2,20.840000000000003,-33.44999999999999,0.083,0.037,0.037
3,39.120000000000005,-57.16999999999996,0.097,0.036,0.052
4,60.94,-84.95999999999998,0.065,0.032,0.046
5,77.82,-102.20999999999998,0.047,0.031,0.03
6,90.37,-112.19,0.038,0.034,0.024
7,106.19,-120.25999999999999,0.029,0.031,0.026
8,130.85999999999999,-132.44,0.029,0.028,0.039
9,142.47,-139.90999999999997,0.025,0.024,0.021
10,166.48,-153.72999999999996,0.025,0.029,0.0
