temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.02,0.023,0.0
1,-4.8799999999999955,18.019999999999982,0.027,0.021,0.0
2,-4.439999999999998,26.939999999999998,0.021,0.022,0.018
3,-8.579999999999984,37.06999999999999,0.02,0.021,0.021
4,-8.149999999999977,45.289999999999964,0.026,0.025,0.016
5,-12.670000000000016,56.14999999999998,0.037,0.022,0.036
6,-11.310000000000002,71.95999999999998,0.055,0.028,0.032
7,-11.420000000000016,90.63,0.05,0.024,0.037
8,-9.28000000000003,105.27999999999997,0.066,0.03,0.029
9,-8.389999999999986,123.90999999999997,0.055,0.028,0.038
10,-6.6299999999999955,138.64,0.047,0.026,0.03
