temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.03,0.048,0.0
1,9.360000000000014,6.600000000000023,0.036,0.057,0.018
2,28.210000000000008,16.689999999999998,0.037,0.044,0.026
3,38.29000000000002,21.660000000000025,0.033,0.037,0.016
4,49.27000000000001,29.370000000000005,0.031,0.029,0.021
5,67.66000000000003,40.370000000000005,0.026,0.028,0.032
6,83.36000000000001,48.210000000000036,0.024,0.021,0.029
7,113.5,76.52000000000004,0.045,0.021,0.0
8,130.23000000000002,93.59000000000003,0.059,0.025,0.04
9,145.76,108.65000000000003,0.066,0.026,0.036
10,154.01,120.25,0.055,0.03,0.025
