temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.057,0.032,0.0
1,-6.5,-10.269999999999982,0.094,0.054,0.022
2,-24.860000000000014,-30.47999999999996,0.082,0.044,0.047
3,-32.97000000000003,-45.46999999999997,0.075,0.042,0.032
4,-41.74000000000001,-61.72999999999996,0.063,0.038,0.028
5,-51.25,-76.65999999999997,0.048,0.036,0.024
6,-65.82,-91.32999999999998,0.037,0.034,0.035
7,-76.61000000000001,-104.19,0.034,0.03,0.029
8,-90.87,-117.43,0.033,0.029,0.032
9,-101.24000000000001,-130.26999999999998,0.036,0.029,0.029
