temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.024,0.021,0.0
1,-9.5,5.729999999999961,0.028,0.028,0.017
2,-26.04000000000002,13.259999999999991,0.027,0.028,0.026
3,-39.99000000000001,19.930000000000007,0.027,0.029,0.022
4,-66.46000000000004,31.639999999999986,0.03,0.029,0.046
5,-82.14000000000001,40.06999999999999,0.045,0.028,0.032
6,-96.81000000000003,56.14999999999998,0.062,0.032,0.038
7,-112.68000000000004,66.50999999999999,0.069,0.035,0.037
8,-126.60000000000002,82.81,0.082,0.035,0.042
9,-136.19000000000003,95.05000000000001,0.084,0.036,0.027
