temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.07,0.033,0.0
1,-8.509999999999991,9.939999999999998,0.054,0.033,0.018
2,-16.299999999999955,14.509999999999991,0.039,0.037,0.013
3,-29.939999999999998,22.769999999999982,0.04,0.044,0.024
4,-46.68000000000001,31.17999999999995,0.036,0.039,0.027
5,-67.02999999999997,41.06,0.042,0.039,0.038
6,-84.24000000000001,52.19999999999999,0.058,0.031,0.036
7,-101.67999999999998,68.25999999999999,0.066,0.035,0.039
8,-120.75999999999999,84.95999999999998,0.061,0.036,0.042
9,-150.74999999999997,109.59999999999997,0.077,0.037,0.084
10,-168.39999999999998,132.17999999999995,0.08,0.035,0.054
