temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.064,0.029,0.0
1,9.150000000000006,-11.509999999999991,0.091,0.039,0.025
2,31.159999999999997,-37.75,0.096,0.037,0.034
3,54.84,-67.74000000000001,0.089,0.039,0.067
4,75.47,-94.30000000000001,0.092,0.042,0.047
5,94.44,-113.88999999999999,0.058,0.034,0.031
6,115.55000000000001,-126.68,0.036,0.037,0.035
7,140.60999999999999,-140.67000000000002,0.033,0.029,0.042
8,155.26000000000002,-149.31,0.028,0.029,0.025
9,164.38000000000002,-155.51,0.029,0.032,0.017
