temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.049,0.028,0.0
1,-9.430000000000007,-11.519999999999982,0.069,0.041,0.026
2,-31.189999999999998,-31.16999999999996,0.065,0.033,0.048
3,-47.089999999999975,-49.15999999999997,0.067,0.036,0.041
4,-64.32999999999998,-65.64999999999998,0.057,0.031,0.034
5,-80.10000000000002,-78.13999999999999,0.039,0.033,0.025
6,-97.57999999999998,-89.85999999999996,0.034,0.036,0.032
7,-113.55000000000001,-99.46999999999997,0.028,0.027,0.028
8,-128.11,-109.14999999999998,0.035,0.03,0.027
9,-134.48,-116.73999999999995,0.029,0.032,0.017
