temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.022,0.021,0.0
1,-69.74000000000001,0.15999999999996817,0.025,0.021,0.0
2,-94.25999999999999,-1.160000000000025,0.025,0.024,0.031
3,-119.73000000000002,-2.519999999999982,0.027,0.023,0.032
4,-143.76000000000002,-3.240000000000009,0.03,0.029,0.031
5,-168.42000000000002,-3.230000000000018,0.027,0.029,0.038
6,-202.57,-0.07999999999998408,0.053,0.018,0.042
7,-231.5,7.199999999999989,0.072,0.025,0.04
8,-252.63,11.159999999999968,0.062,0.026,0.029
