temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.048,0.029,0.0
1,-10.019999999999982,-14.840000000000032,0.054,0.029,0.032
2,-18.769999999999982,-26.900000000000034,0.052,0.026,0.026
3,-30.019999999999982,-41.58000000000004,0.065,0.026,0.033
4,-44.420000000000016,-67.12,0.049,0.028,0.047
5,-57.69,-88.97000000000003,0.029,0.025,0.032
6,-72.89999999999998,-106.19,0.025,0.026,0.039
7,-83.98000000000002,-122.40000000000003,0.024,0.02,0.035
8,-100.79000000000002,-147.77000000000004,0.021,0.02,0.0
