temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.064,0.025,0.0
1,13.699999999999989,-21.549999999999955,0.1,0.038,0.046
2,26.549999999999983,-41.52999999999997,0.084,0.038,0.039
3,45.03999999999999,-66.12,0.054,0.031,0.037
4,65.38,-81.78999999999996,0.043,0.032,0.036
5,90.02000000000001,-98.93,0.034,0.033,0.046
6,106.39000000000001,-108.44,0.03,0.033,0.028
7,121.16,-117.94,0.036,0.028,0.026
8,136.35,-126.57999999999998,0.032,0.034,0.026
9,145.48,-132.35999999999996,0.041,0.036,0.016
10,151.48999999999998,-135.25,0.051,0.03,0.01
11,157.20000000000002,-137.76999999999998,0.066,0.032,0.016
