temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.049,0.021,0.0
1,105.26999999999998,7.889999999999986,0.038,0.019,0.0
2,118.19,7.460000000000036,0.049,0.02,0.016
3,140.18,10.210000000000036,0.05,0.024,0.028
4,157.74,11.069999999999993,0.047,0.024,0.022
5,177.51,12.240000000000009,0.051,0.023,0.025
6,189.55,12.560000000000002,0.056,0.03,0.015
7,201.82,16.350000000000023,0.049,0.024,0.017
8,212.73000000000002,14.939999999999998,0.045,0.025,0.014
9,222.85000000000002,14.420000000000016,0.041,0.023,0.013
10,234.07,15.520000000000039,0.048,0.024,0.014
11,242.07,12.939999999999998,0.054,0.026,0.011
12,251.44,15.160000000000025,0.048,0.025,0.013
13,261.21,15.480000000000018,0.053,0.028,0.012
