temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.048,0.021,0.0
1,-10.879999999999995,-2.2700000000000387,0.055,0.031,0.014
2,-23.269999999999982,-1.8500000000000227,0.053,0.028,0.016
3,-34.59000000000003,-4.140000000000043,0.051,0.026,0.015
4,-51.25,-2.6100000000000136,0.06,0.028,0.021
5,-66.29000000000002,-2.920000000000016,0.045,0.024,0.019
6,-86.07,-5.340000000000032,0.045,0.024,0.025
7,-108.93,-6.830000000000041,0.042,0.022,0.029
8,-202.74,-7.720000000000027,0.062,0.024,0.0
9,-211.58,-3.890000000000043,0.05,0.022,0.013
