temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.067,0.027,0.0
1,-14.360000000000014,-2.430000000000007,0.06,0.034,0.018
2,-21.389999999999986,-0.6499999999999773,0.062,0.031,0.009
3,-34.73000000000002,-0.22000000000002728,0.051,0.028,0.017
4,-51.00999999999999,1.3700000000000045,0.047,0.026,0.021
5,-77.95999999999998,-3.0300000000000296,0.039,0.021,0.035
6,-104.44999999999999,-2.2099999999999795,0.037,0.019,0.033
7,-170.31,-5.550000000000011,0.04,0.019,0.0
8,-200.58,-7.670000000000016,0.053,0.023,0.0
9,-213.20000000000002,-3.340000000000032,0.063,0.022,0.021
10,-226.95000000000002,0.18999999999999773,0.062,0.028,0.019
11,-235.77,1.1200000000000045,0.093,0.038,0.011
