temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.074,0.024,0.0
1,17.05000000000001,-5.5400000000000205,0.076,0.03,0.024
2,30.420000000000016,-11.730000000000018,0.089,0.039,0.021
3,55.77000000000001,-19.20999999999998,0.069,0.029,0.03
4,86.93,-16.439999999999998,0.052,0.026,0.039
5,119.83000000000004,-15.409999999999968,0.053,0.022,0.041
6,153.96000000000004,-12.529999999999973,0.052,0.026,0.043
7,188.29000000000002,-9.399999999999977,0.05,0.028,0.043
8,223.14,-9.009999999999991,0.05,0.027,0.044
9,241.15000000000003,-7.920000000000016,0.052,0.025,0.023
10,274.38,-2.5600000000000023,0.045,0.026,0.0
11,287.8,-4.899999999999977,0.051,0.026,0.017
12,300.04,-3.420000000000016,0.062,0.026,0.015
