temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.021,0.021,0.0
1,47.54000000000002,45.68000000000001,0.023,0.02,0.0
2,61.860000000000014,60.81,0.037,0.018,0.047
3,75.58999999999997,80.92000000000002,0.045,0.022,0.044
4,94.81,102.44999999999999,0.05,0.022,0.049
5,104.38999999999999,117.96999999999997,0.043,0.025,0.033
6,114.75999999999999,126.45999999999998,0.049,0.028,0.021
7,121.32,135.54000000000002,0.05,0.023,0.02
8,127.07999999999998,144.89999999999998,0.044,0.024,0.02
9,136.88,152.32,0.051,0.026,0.019
