temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.058,0.024,0.0
1,18.47999999999999,-11.060000000000002,0.099,0.051,0.027
2,37.97,-17.870000000000005,0.089,0.051,0.023
3,65.78,-14.439999999999998,0.079,0.044,0.035
4,95.67000000000002,-13.810000000000002,0.072,0.044,0.037
5,128.55,-11.689999999999998,0.085,0.048,0.041
6,159.94,-10.339999999999975,0.075,0.041,0.039
7,190.76999999999998,-12.299999999999955,0.077,0.049,0.039
8,212.96999999999997,-15.599999999999966,0.085,0.043,0.029
9,232.88,-17.19999999999999,0.075,0.041,0.026
10,249.11,-19.839999999999975,0.082,0.042,0.021
11,259.36,-23.329999999999984,0.095,0.05,0.015
12,237.87,-140.23999999999998,0.038,0.018,0.0
