temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.077,0.024,0.0
1,4.659999999999997,-9.129999999999995,0.107,0.049,0.019
2,28.110000000000014,-43.01999999999998,0.128,0.051,0.074
3,51.610000000000014,-72.25999999999999,0.097,0.044,0.046
4,74.1,-93.44,0.039,0.038,0.038
5,94.16,-103.30000000000001,0.04,0.04,0.032
6,112.28999999999999,-112.88999999999999,0.036,0.034,0.03
7,126.75,-120.75,0.043,0.037,0.024
8,138.2,-127.04000000000002,0.043,0.036,0.019
9,143.91000000000003,-129.69,0.037,0.038,0.009
10,150.70999999999998,-133.04000000000002,0.043,0.039,0.011
