temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.022,0.026,0.0
1,-0.6999999999999886,7.160000000000025,0.027,0.026,0.014
2,-0.8400000000000318,17.360000000000014,0.025,0.026,0.02
3,-1.759999999999991,26.930000000000007,0.032,0.028,0.031
4,-2.079999999999984,46.879999999999995,0.047,0.025,0.043
5,-1.160000000000025,62.129999999999995,0.052,0.029,0.031
6,0.009999999999990905,82.37,0.055,0.028,0.041
7,-0.6100000000000136,95.88,0.058,0.031,0.027
8,-1.740000000000009,109.28000000000003,0.06,0.035,0.027
9,-0.45999999999997954,119.25,0.058,0.035,0.02
10,0.4900000000000091,128.54000000000002,0.062,0.035,0.019
11,-0.6999999999999886,137.14,0.058,0.034,0.017
12,-0.22000000000002728,149.26,0.062,0.036,0.024
