temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.04,0.359,0.0
1,0.3300000000000409,-17.689999999999998,0.053,0.03,0.035
2,-0.47999999999996135,-29.779999999999973,0.058,0.033,0.024
3,-1.8799999999999955,-45.65999999999997,0.049,0.029,0.032
4,-0.9499999999999886,-63.670000000000016,0.048,0.024,0.036
5,-1.4099999999999682,-79.78999999999996,0.048,0.027,0.032
6,-1.1100000000000136,-96.17000000000002,0.048,0.026,0.032
7,-3.6100000000000136,-115.73000000000002,0.035,0.019,0.039
8,-6.069999999999993,-136.94,0.047,0.022,0.043
9,-8.430000000000007,-155.05,0.033,0.018,0.024
10,-9.430000000000007,-174.83999999999997,0.02,0.023,0.035
11,-11.560000000000002,-185.28999999999996,0.031,0.024,0.021
12,-10.110000000000014,-193.3,0.021,0.021,0.016
13,-11.729999999999961,-206.51,0.025,0.022,0.0
14,-14.050000000000011,-211.67000000000002,0.022,0.02,0.011
15,-13.759999999999991,-217.92000000000002,0.029,0.022,0.013
16,-15.849999999999966,-225.01999999999998,0.025,0.025,0.014
