temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.062,0.089,0.026
1,13.610000000000007,-10.799999999999955,0.083,0.105,0.027
2,28.190000000000005,-23.859999999999957,0.077,0.04,0.032
3,44.81000000000001,-39.21999999999997,0.081,0.043,0.037
4,61.9,-52.75,0.083,0.036,0.034
5,83.59,-75.38999999999999,0.07,0.03,0.053
6,100.16,-91.14999999999998,0.075,0.031,0.038
7,115.25,-109.56,0.084,0.033,0.041
8,129.33,-123.69,0.081,0.035,0.033
9,148.75,-142.33999999999997,0.065,0.026,0.032
10,167.88000000000002,-157.39,0.044,0.025,0.03
11,187.18,-164.26999999999998,0.025,0.024,0.028
12,208.14000000000001,-172.32,0.029,0.025,0.031
13,231.18000000000004,-179.32999999999998,0.025,0.022,0.032
14,249.31000000000003,-185.51999999999998,0.022,0.023,0.026
15,267.54999999999995,-194.57,0.023,0.023,0.029
16,289.47999999999996,-202.83999999999997,0.041,0.021,0.057
