temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.042,0.021,0.0
1,1.8999999999999773,-10.870000000000005,0.051,0.029,0.022
2,3.75,-20.069999999999993,0.052,0.031,0.019
3,3.8600000000000136,-32.94,0.045,0.028,0.026
4,5.399999999999977,-55.49000000000001,0.053,0.032,0.045
5,4.800000000000011,-71.40999999999997,0.048,0.028,0.032
6,3.920000000000016,-86.23000000000002,0.053,0.03,0.029
7,3.7899999999999636,-103.19,0.049,0.024,0.034
8,4.819999999999993,-129.5,0.049,0.022,0.048
9,1.5199999999999818,-149.89999999999998,0.04,0.03,0.023
10,2.269999999999982,-159.32,0.029,0.03,0.018
11,0.08999999999997499,-167.73000000000002,0.033,0.029,0.017
12,0.8299999999999841,-177.75,0.033,0.029,0.02
13,0.3299999999999841,-186.79000000000002,0.03,0.031,0.018
14,-1.1000000000000227,-195.57999999999998,0.024,0.027,0.018
15,-0.8100000000000023,-205.14999999999998,0.026,0.022,0.019
16,-3.1200000000000045,-213.99,0.027,0.025,0.018
17,-2.170000000000016,-220.8,0.022,0.024,0.014
