temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.025,0.027,0.0
1,-4.740000000000009,16.150000000000034,0.032,0.022,0.0
2,-7.300000000000011,23.28000000000003,0.037,0.024,0.024
3,-5.57000000000005,45.23000000000002,0.045,0.023,0.044
4,-6.680000000000007,55.129999999999995,0.055,0.023,0.02
5,-5.050000000000011,68.12,0.057,0.026,0.026
6,-4.670000000000016,81.22000000000003,0.05,0.029,0.027
7,-3.5400000000000205,97.92000000000002,0.057,0.031,0.033
8,-4.580000000000041,106.60000000000002,0.063,0.029,0.017
9,-3.8600000000000136,118.66000000000003,0.054,0.031,0.024
10,-4.189999999999998,128.35000000000002,0.053,0.031,0.019
11,-5.03000000000003,138.07,0.058,0.03,0.019
12,-3.930000000000007,146.20000000000005,0.056,0.034,0.016
13,-2.8600000000000136,157.03000000000003,0.061,0.033,0.022
