temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.027,0.03,0.0
1,-0.2300000000000182,4.800000000000011,0.03,0.028,0.01
2,-0.3900000000000432,12.910000000000025,0.025,0.027,0.016
3,-1.5300000000000296,26.980000000000018,0.039,0.025,0.046
4,-4.580000000000041,47.670000000000016,0.059,0.027,0.042
5,-4.350000000000023,68.63999999999999,0.058,0.029,0.042
6,-5.439999999999998,90.54000000000002,0.057,0.034,0.044
7,-5.75,107.18,0.061,0.037,0.033
8,-6.340000000000032,127.82,0.062,0.036,0.041
9,-8.28000000000003,138.57,0.064,0.037,0.022
10,-7.660000000000025,149.78000000000003,0.059,0.033,0.022
