temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.041,0.02,0.0
1,-13.579999999999984,-21.569999999999993,0.054,0.032,0.029
2,-32.74000000000001,-41.19,0.054,0.03,0.046
3,-50.19,-60.35000000000002,0.042,0.025,0.044
4,-64.47000000000003,-79.16000000000003,0.052,0.025,0.042
5,-79.98000000000002,-97.42000000000002,0.044,0.02,0.041
6,-99.37,-122.85000000000002,0.043,0.018,0.056
7,-117.29000000000002,-142.51999999999998,0.046,0.021,0.037
8,-132.17000000000002,-158.95999999999998,0.023,0.021,0.03
9,-166.05,-182.99,0.022,0.022,0.0
10,-178.39000000000001,-191.91000000000003,0.022,0.023,0.028
11,-191.65,-201.88,0.021,0.028,0.027
12,-208.42000000000002,-210.13,0.022,0.036,0.027
13,-221.62,-217.47000000000003,0.024,0.039,0.022
14,-228.94,-223.63,0.025,0.043,0.015
15,-238.89000000000001,-230.03,0.027,0.029,0.018
