temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.026,0.026,0.0
1,-17.149999999999977,9.45999999999998,0.023,0.025,0.029
2,-45.66999999999999,30.680000000000007,0.048,0.025,0.068
3,-70.98999999999998,60.21999999999997,0.041,0.025,0.074
4,-102.13999999999999,92.33999999999997,0.073,0.028,0.093
5,-117.98999999999998,119.41000000000003,0.072,0.029,0.058
6,-134.79999999999998,140.73000000000002,0.074,0.034,0.048
7,-148.42,157.48000000000002,0.085,0.043,0.038
8,-160.04999999999998,169.75,0.074,0.184,0.029
9,-165.73,178.63,0.056,0.178,0.157
