temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.051,0.025,0.0
1,9.509999999999991,-6.03000000000003,0.054,0.026,0.017
2,25.810000000000002,-17.319999999999993,0.044,0.025,0.03
3,49.45000000000002,-35.79000000000002,0.036,0.02,0.046
4,75.21000000000001,-57.329999999999984,0.05,0.022,0.051
5,107.65,-78.79000000000002,0.026,0.023,0.05
6,134.49999999999997,-88.25999999999999,0.02,0.02,0.043
7,188.71,-147.41000000000003,0.039,0.02,0.0
8,207.04999999999998,-164.79000000000002,0.041,0.021,0.042
9,232.48,-183.84,0.053,0.019,0.0
10,274.20000000000005,-321.92,0.058,0.02,0.0
