temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.049,0.021,0.0
1,-22.82000000000005,4.2099999999999795,0.051,0.024,0.013
2,-37.360000000000014,5.1299999999999955,0.048,0.021,0.018
3,-53.900000000000034,7.110000000000014,0.046,0.027,0.021
4,-68.07000000000005,8.019999999999982,0.058,0.022,0.018
5,-113.76000000000005,8.339999999999975,0.048,0.023,0.0
6,-134.73000000000002,8.589999999999975,0.056,0.025,0.026
7,-155.3,12.589999999999975,0.045,0.022,0.027
8,-175.28000000000003,11.110000000000014,0.039,0.023,0.025
9,-198.56000000000003,10.670000000000016,0.06,0.027,0.03
10,-220.32000000000002,14.509999999999991,0.042,0.023,0.029
11,-243.42000000000002,11.729999999999961,0.057,0.026,0.034
12,-257.79,19.289999999999964,0.062,0.021,0.023
13,-279.74,26.670000000000016,0.062,0.026,0.031
14,-295.39,34.81999999999999,0.068,0.025,0.025
15,-312.5,40.360000000000014,0.066,0.025,0.024
16,-331.49,46.44999999999999,0.062,0.025,0.027
17,-349.82000000000005,53.610000000000014,0.068,0.032,0.028
