temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.056,0.027,0.0
1,4.5800000000000125,-8.879999999999995,0.076,0.029,0.019
2,14.890000000000015,-18.909999999999968,0.066,0.026,0.024
3,51.01000000000002,-64.14999999999998,0.067,0.026,0.0
4,91.78,-102.03999999999996,0.043,0.019,0.0
5,112.20000000000002,-121.76999999999998,0.037,0.02,0.036
6,134.82000000000002,-133.32,0.023,0.023,0.036
7,156.28,-142.09999999999997,0.028,0.023,0.032
8,170.37000000000003,-150.25,0.026,0.03,0.024
9,191.60999999999999,-158.02999999999997,0.026,0.027,0.037
10,201.09,-162.82,0.04,0.026,0.023
11,207.06000000000003,-169.98999999999995,0.057,0.023,0.022
