temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.052,0.028,0.0
1,-6.21999999999997,-10.089999999999975,0.057,0.031,0.022
2,-15.549999999999955,-24.069999999999993,0.054,0.031,0.03
3,-32.85999999999996,-47.45999999999998,0.053,0.023,0.052
4,-62.44,-91.75,0.05,0.024,0.0
5,-90.59999999999997,-133.27999999999997,0.028,0.02,0.0
6,-102.38,-141.64,0.029,0.022,0.022
7,-112.76999999999998,-152.82999999999998,0.024,0.024,0.026
8,-125.21999999999997,-162.15999999999997,0.024,0.025,0.024
9,-150.7,-182.56,0.026,0.025,0.0
10,-159.17999999999998,-191.34999999999997,0.024,0.022,0.021
11,-165.54999999999998,-196.0,0.025,0.031,0.012
12,-172.40999999999997,-200.20999999999998,0.028,0.037,0.015
13,-178.26999999999998,-204.0,0.028,0.034,0.011
14,-184.02999999999997,-209.26,0.032,0.035,0.013
