temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.067,0.025,0.0
1,11.980000000000018,-8.129999999999995,0.069,0.027,0.022
2,44.18000000000001,-20.519999999999982,0.03,0.026,0.0
3,61.72000000000003,-20.689999999999998,0.036,0.021,0.022
4,100.94999999999999,-22.189999999999998,0.03,0.028,0.0
5,123.77000000000004,-22.840000000000032,0.037,0.027,0.029
6,141.61,-24.680000000000007,0.028,0.026,0.023
7,163.15000000000003,-25.019999999999982,0.024,0.023,0.027
8,182.08000000000004,-24.639999999999986,0.027,0.025,0.024
9,197.69,-25.25,0.027,0.028,0.02
10,214.34000000000003,-26.25999999999999,0.037,0.025,0.022
11,232.46000000000004,-31.5,0.055,0.024,0.026
12,244.19,-34.639999999999986,0.057,0.03,0.015
13,254.19,-33.76999999999998,0.048,0.026,0.013
14,273.2,-33.84000000000003,0.051,0.028,0.024
