temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.024,0.025,0.0
1,-14.139999999999986,4.199999999999989,0.027,0.029,0.02
2,-32.079999999999984,11.169999999999959,0.033,0.027,0.028
3,-53.66999999999996,25.75,0.05,0.024,0.045
4,-77.75999999999999,45.73999999999995,0.05,0.025,0.051
5,-99.35999999999999,64.69,0.058,0.031,0.048
6,-129.21999999999997,87.13999999999999,0.058,0.035,0.071
7,-149.47999999999996,105.26999999999998,0.076,0.034,0.057
8,-166.89,126.77999999999997,0.089,0.037,0.048
9,-182.06999999999996,145.60999999999996,0.084,0.039,0.043
10,-193.43999999999997,158.04999999999995,0.09,0.045,0.029
11,-198.83999999999997,166.23999999999995,0.076,0.203,0.018
