temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.047,0.351,0.02
1,1.4700000000000273,-17.810000000000002,0.063,0.035,0.036
2,1.509999999999991,-28.319999999999993,0.056,0.03,0.021
3,0.5,-45.76999999999998,0.059,0.032,0.035
4,0.2300000000000182,-61.49000000000001,0.053,0.03,0.031
5,-0.6499999999999773,-78.50999999999999,0.049,0.03,0.034
6,-0.589999999999975,-99.5,0.053,0.026,0.042
7,-1.4800000000000182,-119.63999999999999,0.046,0.024,0.04
8,-3.319999999999993,-142.25,0.044,0.024,0.041
9,-8.009999999999991,-163.77999999999997,0.033,0.025,0.027
10,-7.490000000000009,-177.64999999999998,0.028,0.026,0.028
11,-9.04000000000002,-194.16999999999996,0.035,0.028,0.033
12,-9.569999999999993,-202.46999999999997,0.025,0.022,0.017
13,-10.300000000000011,-211.87,0.028,0.025,0.019
14,-9.769999999999982,-218.87,0.023,0.023,0.014
15,-10.149999999999977,-224.57,0.027,0.026,0.011
