temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.07,0.029,0.0
1,12.630000000000024,-5.089999999999975,0.073,0.024,0.019
2,24.910000000000025,-8.75,0.059,0.024,0.017
3,38.75,-16.47999999999996,0.043,0.025,0.016
4,134.90000000000003,-10.490000000000009,0.038,0.022,0.0
5,183.12,-8.610000000000014,0.043,0.018,0.0
6,201.82999999999998,-6.779999999999973,0.047,0.026,0.024
7,215.28000000000003,-7.539999999999964,0.056,0.023,0.017
8,228.73000000000002,-7.789999999999964,0.06,0.026,0.017
9,239.61,-4.4599999999999795,0.046,0.018,0.015
10,247.63,-4.0,0.058,0.024,0.01
