temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.079,0.165,0.0
1,10.129999999999995,-11.560000000000002,0.071,0.032,0.026
2,48.46000000000001,-55.39000000000004,0.07,0.028,0.097
3,90.32999999999998,-102.09000000000003,0.052,0.023,0.08
4,142.60999999999999,-144.11,0.04,0.022,0.083
5,168.49999999999997,-156.53000000000003,0.03,0.025,0.039
6,182.16,-162.96000000000004,0.03,0.03,0.021
7,200.35999999999999,-169.53000000000003,0.033,0.027,0.026
8,222.22,-178.07000000000005,0.032,0.028,0.037
9,246.52,-195.3,0.07,0.024,0.069
10,254.32000000000002,-207.92000000000002,0.074,0.019,0.027
