temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.025,0.023,0.0
1,-4.310000000000002,26.339999999999975,0.031,0.022,0.014
2,-6.579999999999984,41.339999999999975,0.028,0.022,0.052
3,-5.569999999999993,55.339999999999975,0.055,0.025,0.031
4,-5.490000000000009,70.23000000000002,0.048,0.022,0.03
5,-3.7900000000000205,86.59999999999997,0.048,0.026,0.033
6,-2.819999999999993,101.61000000000001,0.053,0.028,0.03
7,-2.2799999999999727,116.92000000000002,0.04,0.022,0.031
8,-1.2099999999999795,129.40999999999997,0.06,0.031,0.025
9,-1.2199999999999704,140.55,0.052,0.032,0.022
10,-1.7099999999999795,152.46999999999997,0.053,0.032,0.024
11,-1.8899999999999864,163.37,0.059,0.034,0.022
12,-1.579999999999984,172.31,0.057,0.035,0.018
