temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.025,0.021,0.0
1,-0.4300000000000068,9.25,0.022,0.021,0.018
2,-5.189999999999998,16.70999999999998,0.024,0.023,0.016
3,-4.830000000000041,26.329999999999984,0.026,0.024,0.028
4,-4.470000000000027,45.60000000000002,0.065,0.019,0.045
5,-4.600000000000023,70.19,0.052,0.028,0.049
6,-6.389999999999986,84.25,0.054,0.025,0.028
7,-4.310000000000002,100.81,0.049,0.029,0.033
8,-5.170000000000016,112.10000000000002,0.056,0.032,0.023
9,-4.75,125.25999999999999,0.06,0.029,0.026
10,-5.009999999999991,139.07999999999998,0.057,0.035,0.028
11,-4.6299999999999955,152.47000000000003,0.055,0.031,0.027
12,-5.020000000000039,162.95,0.059,0.036,0.021
13,-5.840000000000032,171.31,0.065,0.038,0.017
14,-4.939999999999998,180.35000000000002,0.052,0.024,0.018
