temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.067,0.033,0.0
1,9.75,-10.850000000000023,0.065,0.032,0.019
2,23.460000000000008,-17.04000000000002,0.052,0.028,0.021
3,49.51000000000002,-37.60000000000002,0.043,0.02,0.051
4,68.61000000000001,-51.31999999999999,0.05,0.03,0.034
5,89.44,-64.11000000000001,0.037,0.025,0.031
6,109.32,-71.30000000000001,0.029,0.033,0.029
7,126.87,-76.19999999999999,0.029,0.029,0.024
8,140.60000000000002,-83.04000000000002,0.035,0.031,0.022
9,155.63,-87.26999999999998,0.038,0.034,0.021
10,163.91000000000003,-92.10000000000002,0.052,0.032,0.02
11,170.69,-96.50999999999999,0.06,0.029,0.018
12,176.91000000000003,-106.0,0.081,0.029,0.021
