temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.053,0.025,0.0
1,-3.109999999999985,-17.360000000000014,0.054,0.026,0.035
2,-2.7299999999999898,-36.49000000000001,0.059,0.027,0.038
3,-3.4099999999999966,-59.43000000000001,0.05,0.026,0.046
4,-4.319999999999993,-79.77999999999997,0.05,0.024,0.036
5,-3.769999999999982,-99.55000000000001,0.032,0.031,0.026
6,-5.539999999999992,-107.29000000000002,0.031,0.03,0.016
7,-3.4399999999999977,-114.44999999999999,0.029,0.031,0.015
8,-1.4299999999999784,-123.35000000000002,0.036,0.03,0.018
9,-5.2099999999999795,-127.07999999999998,0.03,0.029,0.009
10,-4.889999999999986,-132.95,0.029,0.023,0.012
11,-2.3799999999999955,-137.61,0.022,0.021,0.01
