temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.047,0.025,0.0
1,1.6099999999999568,-10.399999999999977,0.042,0.021,0.021
2,4.529999999999973,-35.829999999999984,0.044,0.025,0.051
3,3.4599999999999795,-65.65999999999997,0.038,0.028,0.034
4,6.399999999999977,-79.90999999999997,0.028,0.022,0.029
5,10.20999999999998,-95.42000000000002,0.034,0.021,0.031
6,10.45999999999998,-101.77999999999997,0.03,0.026,0.013
7,12.620000000000005,-108.71999999999997,0.03,0.022,0.014
8,14.269999999999982,-114.82,0.025,0.028,0.012
9,18.80000000000001,-123.0,0.029,0.025,0.017
