temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.05,0.028,0.0
1,-85.5,8.46999999999997,0.035,0.02,0.0
2,-151.32999999999998,8.949999999999989,0.037,0.02,0.0
3,-184.79999999999998,14.240000000000009,0.065,0.025,0.057
4,-213.40999999999997,31.49000000000001,0.065,0.028,0.05
5,-235.68999999999997,42.329999999999984,0.068,0.026,0.035
6,-253.32999999999998,52.68000000000001,0.081,0.034,0.03
7,-270.54999999999995,57.76999999999998,0.094,0.035,0.024
8,-281.57,63.620000000000005,0.082,0.038,0.018
9,-293.71999999999997,68.02999999999997,0.082,0.04,0.018
