temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.072,0.029,0.0
1,8.86,-4.619999999999948,0.073,0.032,0.014
2,20.599999999999994,-11.17999999999995,0.079,0.034,0.02
3,34.96000000000001,-18.349999999999966,0.079,0.03,0.023
4,57.640000000000015,-25.799999999999955,0.075,0.02,0.031
5,83.89000000000001,-36.049999999999955,0.027,0.021,0.03
6,100.83000000000001,-32.91999999999996,0.027,0.023,0.022
7,141.64000000000001,-35.789999999999964,0.026,0.021,0.0
8,162.42999999999998,-34.45999999999998,0.033,0.021,0.026
9,181.42999999999998,-33.639999999999986,0.025,0.023,0.024
10,201.01000000000002,-35.309999999999945,0.026,0.022,0.025
11,215.92,-33.94,0.027,0.026,0.019
12,232.29,-35.52999999999997,0.025,0.02,0.021
13,248.50000000000003,-36.51999999999998,0.03,0.025,0.02
14,262.99,-36.039999999999964,0.041,0.027,0.018
15,274.91999999999996,-38.19,0.049,0.029,0.018
16,281.38,-42.44999999999999,0.06,0.032,0.009
