temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.058,0.122,0.03
1,15.83999999999999,-15.639999999999986,0.085,0.04,0.037
2,32.05,-30.210000000000036,0.082,0.041,0.035
3,50.999999999999986,-51.31999999999999,0.087,0.037,0.048
4,70.01,-73.92000000000002,0.067,0.03,0.051
5,91.83,-97.63,0.088,0.032,0.055
6,114.73,-122.22000000000003,0.069,0.027,0.044
7,137.32999999999998,-145.16000000000003,0.055,0.027,0.043
8,158.43,-160.98000000000002,0.036,0.024,0.033
9,180.77999999999997,-170.39,0.03,0.026,0.034
10,199.27999999999997,-177.67000000000002,0.033,0.031,0.027
11,216.75,-185.11,0.027,0.026,0.026
12,236.31,-192.91000000000003,0.029,0.027,0.029
13,254.87,-198.51999999999998,0.027,0.027,0.029
14,268.51,-204.54000000000002,0.05,0.022,0.037
15,282.0,-222.97000000000003,0.073,0.024,0.041
