temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.061,0.017,0.0
1,-6.71999999999997,10.149999999999977,0.061,0.016,0.022
2,-43.19999999999999,46.039999999999964,0.023,0.021,0.0
3,-70.09999999999997,58.549999999999955,0.026,0.02,0.0
4,-89.03999999999996,66.07,0.027,0.021,0.028
5,-115.11000000000001,75.83999999999997,0.036,0.02,0.0
6,-130.14999999999998,87.57,0.033,0.019,0.031
7,-144.1,99.33999999999997,0.034,0.019,0.03
8,-159.85999999999999,109.67999999999995,0.041,0.022,0.03
9,-177.08999999999997,125.87,0.041,0.022,0.041
10,-191.89999999999998,136.2,0.051,0.026,0.04
11,-209.23,156.42999999999995,0.061,0.022,0.046
12,-224.01999999999998,171.17999999999995,0.066,0.029,0.035
13,-242.95999999999998,193.29999999999995,0.078,0.033,0.051
14,-255.51999999999998,206.40999999999997,0.085,0.043,0.031
15,-265.81,217.0,0.095,0.041,0.025
16,-274.40999999999997,228.46999999999997,0.069,0.166,0.025
17,-285.06,240.48999999999995,0.039,0.149,0.133
