temporal_point,x,y,height,width,finger_pressure
0,0.0,0.0,0.074,0.029,0.0
1,24.909999999999997,-9.25,0.075,0.033,0.036
2,56.52000000000001,-21.05000000000001,0.054,0.022,0.041
3,91.88,-27.25999999999999,0.04,0.02,0.042
4,154.39000000000001,-22.410000000000025,0.036,0.02,0.0
5,188.45000000000002,-22.28000000000003,0.049,0.018,0.043
6,214.85999999999999,-21.79000000000002,0.048,0.021,0.033
7,236.95000000000002,-26.730000000000018,0.06,0.026,0.029
8,258.22,-25.819999999999993,0.048,0.026,0.027
9,273.09000000000003,-26.129999999999995,0.049,0.029,0.019
10,280.97,-25.03000000000003,0.043,0.02,0.01
